Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50581_1644,GL50581_1644-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,842,93460,N/A,0,N/A
GL50581_1645,GL50581_1645-t26_1,Giardia Assemblage B isolate GS,"Ferredoxin Fd1, Fd2 [Source:UniProtKB/TrEMBL;Acc:C6LSA9]",59,6005,N/A,0,N/A
GL50581_1646,GL50581_1646-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,239,26315,N/A,4,N/A
GL50581_1647,GL50581_1647-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LSB1],597,69151,N/A,0,N/A
GL50581_1648,GL50581_1648-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSB2],303,34704,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_1649,GL50581_1649-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,2015,229620,N/A,0,N/A
GL50581_165,GL50581_165-t26_1,Giardia Assemblage B isolate GS,E2F_TDP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN64],261,29319,Winged helix DNA-binding domain superfamily,0,DNA binding;DNA-binding transcription factor activity
GL50581_1650,GL50581_1650-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,583,64524,N/A,0,N/A
GL50581_1651,GL50581_1651-t26_1,Giardia Assemblage B isolate GS,dNK domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSB5],215,24818,P-loop containing nucleoside triphosphate hydrolase,0,kinase activity
GL50581_1652,GL50581_1652-t26_1,Giardia Assemblage B isolate GS,ERCC4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSB6],414,46143,Restriction endonuclease  type II-like,0,DNA binding;nuclease activity
GL50581_1653,GL50581_1653-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,260,28373,"Nucleic acid-binding, OB-fold;K Homology domain, type 1 superfamily",0,RNA binding
GL50581_1654,GL50581_1654-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,272,29990,N/A,0,N/A
GL50581_1655,GL50581_1655-t26_1,Giardia Assemblage B isolate GS,"Nucleotide-binding head-stalk protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSB9]",1620,183841,N/A,0,N/A
GL50581_1657,GL50581_1657-t26_1,Giardia Assemblage B isolate GS,Transcription factor TFIIS [Source:UniProtKB/TrEMBL;Acc:C6LSC0],346,39586,"Transcription elongation factor S-II, central domain superfamily",0,nucleic acid binding;zinc ion binding
GL50581_1658,GL50581_1658-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,236,25890,N/A,0,protein binding
GL50581_1659,GL50581_1659-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSC2],621,69122,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_166,GL50581_166-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,527,58232,N/A,0,N/A
GL50581_1660,GL50581_1660-t26_1,Giardia Assemblage B isolate GS,"Sec20, putative [Source:UniProtKB/TrEMBL;Acc:C6LSC3]",215,24629,N/A,0,SNAP receptor activity
GL50581_1661,GL50581_1661-t26_1,Giardia Assemblage B isolate GS,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSC4],506,56128,MFS transporter superfamily,12,transmembrane transporter activity
GL50581_1662,GL50581_1662-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,491,55255,N/A,0,N/A
GL50581_1663,GL50581_1663-t26_1,Giardia Assemblage B isolate GS,"Spindle pole protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSC6]",1306,145175,N/A,0,N/A
GL50581_1665,GL50581_1665-t26_1,Giardia Assemblage B isolate GS,CBFD_NFYB_HMF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSC7],114,12822,Histone-fold,0,protein heterodimerization activity
GL50581_1666,GL50581_1666-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSC8],558,59727,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1667,GL50581_1667-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,319,36049,N/A,0,N/A
GL50581_1668,GL50581_1668-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316,35243,HIT-like superfamily,0,ATP adenylyltransferase activity;ATP binding
GL50581_1669,GL50581_1669-t26_1,Giardia Assemblage B isolate GS,Alpha-4 giardin [Source:UniProtKB/TrEMBL;Acc:C6LSD1],296,33641,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50581_167,GL50581_167-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,303,33610,N/A,0,N/A
GL50581_1670,GL50581_1670-t26_1,Giardia Assemblage B isolate GS,Alpha-6 giardin [Source:UniProtKB/TrEMBL;Acc:C6LSD2],297,33366,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50581_1671,GL50581_1671-t26_1,Giardia Assemblage B isolate GS,Alpha-5 giardin [Source:UniProtKB/TrEMBL;Acc:C6LSD3],302,34049,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50581_1672,GL50581_1672-t26_1,Giardia Assemblage B isolate GS,Alpha-2 giardin [Source:UniProtKB/TrEMBL;Acc:C6LSD4],295,33900,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50581_1673,GL50581_1673-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,520,57794,Homeobox-like domain superfamily,0,N/A
GL50581_1674,GL50581_1674-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,845,91272,WD40-repeat-containing domain superfamily;Quinoprotein alcohol dehydrogenase-like superfamily,0,protein binding
GL50581_1675,GL50581_1675-t26_1,Giardia Assemblage B isolate GS,Kinesin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSD7],1036,116024,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;microtubule binding;microtubule motor activity
GL50581_1676,GL50581_1676-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,111,12497,N/A,0,N/A
GL50581_1677,GL50581_1677-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,845,95689,N/A,0,N/A
GL50581_1678,GL50581_1678-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,676,75792,N/A,0,N/A
GL50581_1679,GL50581_1679-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,263,29843,PapD-like superfamily,1,N/A
GL50581_168,GL50581_168-t26_1,Giardia Assemblage B isolate GS,High cysteine protein [Source:UniProtKB/TrEMBL;Acc:C6LN67],677,71612,N/A,1,N/A
GL50581_1680,GL50581_1680-t26_1,Giardia Assemblage B isolate GS,UPF0029 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSE2],277,30502,Ribosomal protein S5 domain 2-type fold,0,N/A
GL50581_1681,GL50581_1681-t26_1,Giardia Assemblage B isolate GS,"Lecithin-cholesterol acyl transferase, putative [Source:UniProtKB/TrEMBL;Acc:C6LSE3]",772,88391,Alpha/Beta hydrolase fold,0,O-acyltransferase activity
GL50581_1682,GL50581_1682-t26_1,Giardia Assemblage B isolate GS,Prolyl-tRNA synthetase [Source:UniProtKB/TrEMBL;Acc:C6LSE4],534,60231,"Prolyl-tRNA synthetase, class II",0,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;proline-tRNA ligase activity
GL50581_1683,GL50581_1683-t26_1,Giardia Assemblage B isolate GS,Plug_translocon domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSE5],472,51842,SecY domain superfamily,9,N/A
GL50581_1684,GL50581_1684-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,318,36299,N/A,0,N/A
GL50581_1685,GL50581_1685-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1121,123084,Armadillo-type fold,0,N/A
GL50581_1686,GL50581_1686-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,291,31805,N/A,0,N/A
GL50581_1687,GL50581_1687-t26_1,Giardia Assemblage B isolate GS,60S ribosomal protein L18a [Source:UniProtKB/TrEMBL;Acc:C6LSE9],173,20584,N/A,0,structural constituent of ribosome
GL50581_1688,GL50581_1688-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,503,55691,Armadillo-type fold,0,N/A
GL50581_1689,GL50581_1689-t26_1,Giardia Assemblage B isolate GS,Lipase_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSF1],428,47875,Alpha/Beta hydrolase fold,0,N/A
GL50581_169,GL50581_169-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,228,24755,N/A,0,N/A
GL50581_1690,GL50581_1690-t26_1,Giardia Assemblage B isolate GS,NAD_synthase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSF2],287,31499,N/A,0,ATP binding;NAD+ synthase (glutamine-hydrolyzing) activity;glutaminase activity
GL50581_1691,GL50581_1691-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,390,43507,N/A,0,N/A
GL50581_1692,GL50581_1692-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,245,27054,N/A,4,N/A
GL50581_1693,GL50581_1693-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,359,41308,N/A,0,N/A
GL50581_1694,GL50581_1694-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,302,32730,N/A,0,N/A
GL50581_1695,GL50581_1695-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,280,31500,N/A,0,N/A
GL50581_1696,GL50581_1696-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,572,63024,N/A,0,N/A
GL50581_1697,GL50581_1697-t26_1,Giardia Assemblage B isolate GS,Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:C6LSF9],339,38226,N/A,0,hydrolase activity;phosphoprotein phosphatase activity
GL50581_1698,GL50581_1698-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,132,15653,HRDC-like superfamily,0,nucleotide binding
GL50581_1699,GL50581_1699-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,106,12319,N/A,0,N/A
GL50581_170,GL50581_170-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,190,21305,N/A,0,N/A
GL50581_1700,GL50581_1700-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,220,24568,N/A,0,N/A
GL50581_1701,GL50581_1701-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,454,49283,N/A,0,N/A
GL50581_1702,GL50581_1702-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,908,102103,N/A,0,N/A
GL50581_1703,GL50581_1703-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,219,25788,N/A,0,N/A
GL50581_1704,GL50581_1704-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1657,184931,Armadillo-type fold,0,N/A
GL50581_1705,GL50581_1705-t26_1,Giardia Assemblage B isolate GS,Ribosomal protein L37 [Source:UniProtKB/TrEMBL;Acc:C6LSG7],89,10328,Zinc-binding ribosomal protein,0,metal ion binding;rRNA binding;structural constituent of ribosome
GL50581_1706,GL50581_1706-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSG8],302,33476,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity;protein serine/threonine kinase activity
GL50581_1707,GL50581_1707-t26_1,Giardia Assemblage B isolate GS,SUA5 protein,370,39069,DHBP synthase RibB-like alpha/beta domain superfamily,0,double-stranded RNA binding
GL50581_1708,GL50581_1708-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSH0],531,58387,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1709,GL50581_1709-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,271,30025,N/A,0,N/A
GL50581_171,GL50581_171-t26_1,Giardia Assemblage B isolate GS,tRNA-dihydrouridine(47) synthase [NAD(P)(+)] [Source:UniProtKB/TrEMBL;Acc:C6LN70],553,62060,N/A,0,catalytic activity;flavin adenine dinucleotide binding;metal ion binding;tRNA dihydrouridine synthase activity
GL50581_1710,GL50581_1710-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1067,118689,N/A,0,N/A
GL50581_1711,GL50581_1711-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,89,10190,N/A,0,N/A
GL50581_1712,GL50581_1712-t26_1,Giardia Assemblage B isolate GS,Isopentenyl-diphosphate Delta-isomerase [Source:UniProtKB/TrEMBL;Acc:C6LSH4],236,26342,NUDIX hydrolase-like domain superfamily,0,hydrolase activity;isopentenyl-diphosphate delta-isomerase activity
GL50581_1713,GL50581_1713-t26_1,Giardia Assemblage B isolate GS,Tubulin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSH5],478,52167,"Tubulin/FtsZ, GTPase domain superfamily;Tubulin/FtsZ, C-terminal",0,GTP binding;GTPase activity
GL50581_1714,GL50581_1714-t26_1,Giardia Assemblage B isolate GS,DNA helicase [Source:UniProtKB/TrEMBL;Acc:C6LSH6],947,104956,"Nucleic acid-binding, OB-fold;P-loop containing nucleoside triphosphate hydrolase",0,ATP binding;DNA binding;DNA helicase activity
GL50581_1715,GL50581_1715-t26_1,Giardia Assemblage B isolate GS,Sm domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSH7],83,9412,LSM domain superfamily,0,N/A
GL50581_1716,GL50581_1716-t26_1,Giardia Assemblage B isolate GS,DUF4457 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSH8],1795,198692,N/A,0,N/A
GL50581_1717,GL50581_1717-t26_1,Giardia Assemblage B isolate GS,RNase L inhibitor [Source:UniProtKB/TrEMBL;Acc:C6LSH9],675,74985,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity
GL50581_1718,GL50581_1718-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,513,57178,N/A,0,N/A
GL50581_1719,GL50581_1719-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,319,35603,N/A,0,N/A
GL50581_172,GL50581_172-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,736,79972,N/A,2,N/A
GL50581_1720,GL50581_1720-t26_1,Giardia Assemblage B isolate GS,"Maebl, putative [Source:UniProtKB/TrEMBL;Acc:C6LSI2]",495,58561,N/A,0,N/A
GL50581_1721,GL50581_1721-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSI3],2225,246507,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_1722,GL50581_1722-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,707,79947,N/A,0,N/A
GL50581_1723,GL50581_1723-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1052,118332,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,0,N/A
GL50581_1724,GL50581_1724-t26_1,Giardia Assemblage B isolate GS,LRRNT_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSI6],363,39301,N/A,0,N/A
GL50581_1726,GL50581_1726-t26_1,Giardia Assemblage B isolate GS,Transcription regulatory protein SNF2 [Source:UniProtKB/TrEMBL;Acc:C6LSI7],2074,233539,Bromodomain-like superfamily;P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;protein binding
GL50581_1727,GL50581_1727-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,148,17087,N/A,0,N/A
GL50581_1728,GL50581_1728-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,695,78946,N/A,0,N/A
GL50581_1729,GL50581_1729-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,573,64765,N/A,1,N/A
GL50581_173,GL50581_173-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,420,44560,N/A,0,N/A
GL50581_1730,GL50581_1730-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,134,15356,N/A,0,N/A
GL50581_1731,GL50581_1731-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1059,118330,N/A,0,N/A
GL50581_1732,GL50581_1732-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSJ3],494,54824,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1733,GL50581_1733-t26_1,Giardia Assemblage B isolate GS,BC2 protein [Source:UniProtKB/TrEMBL;Acc:C6LSJ4],234,25902,N/A,0,N/A
GL50581_1734,GL50581_1734-t26_1,Giardia Assemblage B isolate GS,BC2 protein [Source:UniProtKB/TrEMBL;Acc:C6LSJ5],373,42876,Decaprenyl diphosphate synthase-like superfamily,0,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GL50581_1735,GL50581_1735-t26_1,Giardia Assemblage B isolate GS,BC2 protein [Source:UniProtKB/TrEMBL;Acc:C6LSJ6],1260,141190,N/A,0,N/A
GL50581_1736,GL50581_1736-t26_1,Giardia Assemblage B isolate GS,"Reductase, putative [Source:UniProtKB/TrEMBL;Acc:C6LSJ7]",299,33105,NAD(P)-binding domain superfamily,0,N/A
GL50581_1737,GL50581_1737-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,353,39130,N/A,1,N/A
GL50581_1738,GL50581_1738-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LSJ9],629,71379,N/A,0,N/A
GL50581_1739,GL50581_1739-t26_1,Giardia Assemblage B isolate GS,tRNA-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSK0],236,24721,"Nucleic acid-binding, OB-fold",0,aminoacyl-tRNA ligase activity;tRNA binding
GL50581_174,GL50581_174-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1665,186834,N/A,0,N/A
GL50581_1740,GL50581_1740-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,481,53846,N/A,0,N/A
GL50581_1741,GL50581_1741-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,338,38729,N/A,0,protein binding
GL50581_1742,GL50581_1742-t26_1,Giardia Assemblage B isolate GS,"ABC transporter, ATP-binding protein [Source:UniProtKB/TrEMBL;Acc:C6LSK3]",2199,242726,P-loop containing nucleoside triphosphate hydrolase,14,ATP binding;ATP hydrolysis activity
GL50581_1743,GL50581_1743-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1072,119950,N/A,0,N/A
GL50581_1744,GL50581_1744-t26_1,Giardia Assemblage B isolate GS,Trafficking protein particle complex subunit [Source:UniProtKB/TrEMBL;Acc:C6LSK5],187,21125,NO signalling/Golgi transport ligand-binding domain superfamily,0,N/A
GL50581_1745,GL50581_1745-t26_1,Giardia Assemblage B isolate GS,"Membrane protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSK6]",500,53783,N/A,9,N/A
GL50581_1746,GL50581_1746-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LSK7],932,102869,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1747,GL50581_1747-t26_1,Giardia Assemblage B isolate GS,Glucoamylase S1/S2 [Source:UniProtKB/TrEMBL;Acc:C6LSK8],1249,135998,N/A,0,N/A
GL50581_1748,GL50581_1748-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,476,53869,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;helicase activity;nucleic acid binding
GL50581_1749,GL50581_1749-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LSL0],464,51501,Ankyrin repeat-containing domain superfamily,0,protein binding;transferase activity
GL50581_175,GL50581_175-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN74],857,97611,N/A,7,zinc ion binding
GL50581_1750,GL50581_1750-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,822,92920,N/A,0,N/A
GL50581_1751,GL50581_1751-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,815,90895,N/A,0,N/A
GL50581_1752,GL50581_1752-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,991,113137,Rhodanese-like domain superfamily,0,N/A
GL50581_1753,GL50581_1753-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,3178,367617,N/A,18,N/A
GL50581_1755,GL50581_1755-t26_1,Giardia Assemblage B isolate GS,"Spindle pole protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSL5]",2260,252578,N/A,0,N/A
GL50581_1756,GL50581_1756-t26_1,Giardia Assemblage B isolate GS,"Oxidoreductase, short chain dehydrogenase/reductase family [Source:UniProtKB/TrEMBL;Acc:C6LSL6]",318,35136,NAD(P)-binding domain superfamily,3,oxidoreductase activity
GL50581_1757,GL50581_1757-t26_1,Giardia Assemblage B isolate GS,"ABC transporter, ATP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSL7]",2071,232008,P-loop containing nucleoside triphosphate hydrolase,14,ATP binding;ATP hydrolysis activity
GL50581_1758,GL50581_1758-t26_1,Giardia Assemblage B isolate GS,Ribosomal protein L13a [Source:UniProtKB/TrEMBL;Acc:C6LSL8],197,22836,Ribosomal protein L13 superfamily,0,structural constituent of ribosome
GL50581_1759,GL50581_1759-t26_1,Giardia Assemblage B isolate GS,Protein DPCD [Source:UniProtKB/TrEMBL;Acc:C6LSL9],193,21785,N/A,0,N/A
GL50581_1760,GL50581_1760-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,344,38056,N/A,0,N/A
GL50581_1761,GL50581_1761-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,531,60235,N/A,0,N/A
GL50581_1762,GL50581_1762-t26_1,Giardia Assemblage B isolate GS,Trichohyalin [Source:UniProtKB/TrEMBL;Acc:C6LSM2],1024,116190,N/A,0,N/A
GL50581_1763,GL50581_1763-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,428,48691,N/A,0,N/A
GL50581_1764,GL50581_1764-t26_1,Giardia Assemblage B isolate GS,dTMP kinase [Source:UniProtKB/TrEMBL;Acc:C6LSM4],264,30148,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;thymidylate kinase activity
GL50581_1765,GL50581_1765-t26_1,Giardia Assemblage B isolate GS,Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSM5],898,99663,"Translation protein, beta-barrel domain superfamily;P-loop containing nucleoside triphosphate hydrolase;Ribosomal protein S5 domain 2-type fold;EF-G domain III/V-like",0,GTP binding;GTPase activity;translation elongation factor activity
GL50581_1766,GL50581_1766-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,74,8177,N/A,0,N/A
GL50581_1767,GL50581_1767-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,542,59530,N/A,0,N/A
GL50581_1768,GL50581_1768-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,459,50842,N/A,1,N/A
GL50581_1769,GL50581_1769-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LSM9],502,55669,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_177,GL50581_177-t26_1,Giardia Assemblage B isolate GS,"Phospholipid-transporting ATPase IA, putative [Source:UniProtKB/TrEMBL;Acc:C6LN75]",1309,146945,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, transmembrane domain superfamily",8,ATP binding;ATPase-coupled intramembrane lipid transporter activity;magnesium ion binding
GL50581_1770,GL50581_1770-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1553,170862,N/A,0,N/A
GL50581_1771,GL50581_1771-t26_1,Giardia Assemblage B isolate GS,"Ethanolamine kinase, putative [Source:UniProtKB/TrEMBL;Acc:C6LSN1]",342,38969,Protein kinase-like domain superfamily,0,kinase activity
GL50581_1772,GL50581_1772-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,356,41048,N/A,0,N/A
GL50581_1773,GL50581_1773-t26_1,Giardia Assemblage B isolate GS,Protein phosphatases PP1 regulatory subunit SDS22 [Source:UniProtKB/TrEMBL;Acc:C6LSN3],593,66065,N/A,0,protein binding
GL50581_1774,GL50581_1774-t26_1,Giardia Assemblage B isolate GS,Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:C6LSN4],643,71316,"KA1 domain/Ssp2, C-terminal;Protein kinase-like domain superfamily",0,ATP binding;protein kinase activity
GL50581_1775,GL50581_1775-t26_1,Giardia Assemblage B isolate GS,RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:C6LSN5],483,52888,P-loop containing nucleoside triphosphate hydrolase,0,5'-3' DNA helicase activity;ATP binding;DNA helicase activity
GL50581_1776,GL50581_1776-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,493,54416,Kelch-type beta propeller,0,protein binding
GL50581_1777,GL50581_1777-t26_1,Giardia Assemblage B isolate GS,"RNA binding protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LSN7]",1023,116151,RNA-binding domain superfamily,0,RNA binding;nucleic acid binding
GL50581_1778,GL50581_1778-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,304,33170,N/A,0,N/A
GL50581_1779,GL50581_1779-t26_1,Giardia Assemblage B isolate GS,E3 ubiquitin-protein ligase [Source:UniProtKB/TrEMBL;Acc:C6LSN9],2526,283802,N/A,2,ubiquitin protein ligase activity;zinc ion binding
GL50581_178,GL50581_178-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,354,39684,N/A,0,N/A
GL50581_1780,GL50581_1780-t26_1,Giardia Assemblage B isolate GS,Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:C6LSP0],385,43929,Protein kinase-like domain superfamily,0,ATP binding;MAP kinase activity;protein kinase activity
GL50581_1781,GL50581_1781-t26_1,Giardia Assemblage B isolate GS,SEP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSP1],404,43342,UBA-like superfamily,0,protein binding
GL50581_1782,GL50581_1782-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSP2],411,44783,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1783,GL50581_1783-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,94,10443,N/A,2,N/A
GL50581_1784,GL50581_1784-t26_1,Giardia Assemblage B isolate GS,ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSP4],274,30380,Ubiquitin-activating enzyme,0,ubiquitin-like modifier activating enzyme activity
GL50581_1785,GL50581_1785-t26_1,Giardia Assemblage B isolate GS,Arf-GAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSP5],324,36265,ARFGAP/RecO-like zinc finger,0,GTPase activator activity
GL50581_1786,GL50581_1786-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LSP6],619,68441,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1787,GL50581_1787-t26_1,Giardia Assemblage B isolate GS,"Glucosamine-6-phosphate isomerase, putative [Source:UniProtKB/TrEMBL;Acc:C6LSP7]",568,64204,Putative deacetylase LmbE-like domain superfamily,0,glucosamine-6-phosphate deaminase activity
GL50581_1788,GL50581_1788-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,237,27464,N/A,0,N/A
